#format table ## [Custom WaveView] saved 20:37:00 Tue Aug 04 2026
TIME ,v(clk) ,v(out_n) ,v(out_p) 
 2.01990E-009 , 1.19640E+000 , 1.93070E+000 , 1.94130E+000 
 2.02710E-009 , 1.62840E+000 , 1.97950E+000 , 1.98940E+000 
 2.03000E-009 , 1.80000E+000 , 1.98480E+000 , 1.99400E+000 
 2.03110E-009 , 1.80000E+000 , 1.98230E+000 , 1.99140E+000 
 2.03170E-009 , 1.80000E+000 , 1.98100E+000 , 1.98990E+000 
 2.03370E-009 , 1.80000E+000 , 1.97630E+000 , 1.98480E+000 
 2.03950E-009 , 1.80000E+000 , 1.96180E+000 , 1.96890E+000 
 2.04670E-009 , 1.80000E+000 , 1.93600E+000 , 1.94110E+000 
 2.05650E-009 , 1.80000E+000 , 1.84030E+000 , 1.86600E+000 
 2.06750E-009 , 1.80000E+000 , 1.67260E+000 , 1.75260E+000 
 2.08080E-009 , 1.80000E+000 , 1.44140E+000 , 1.58650E+000 
 2.09420E-009 , 1.80000E+000 , 1.22140E+000 , 1.42120E+000 
 2.11030E-009 , 1.80000E+000 , 1.00300E+000 , 1.28980E+000 
 2.12560E-009 , 1.80000E+000 , 8.10550E-001 , 1.27820E+000 
 2.14300E-009 , 1.80000E+000 , 6.04460E-001 , 1.39740E+000 
 2.17620E-009 , 1.80000E+000 , 3.30540E-001 , 1.62650E+000 
 2.18800E-009 , 1.80000E+000 , 2.56250E-001 , 1.67840E+000 
 2.20000E-009 , 1.80000E+000 , 1.88070E-001 , 1.71370E+000 
 2.20300E-009 , 1.62280E+000 , 1.63990E-001 , 1.71250E+000 
 2.20420E-009 , 1.55100E+000 , 1.54290E-001 , 1.71200E+000 
 2.20800E-009 , 1.32100E+000 , 1.24470E-001 , 1.71140E+000 
 2.22020E-009 , 5.85110E-001 , 1.05120E-001 , 1.72180E+000 
 2.23000E-009 , 1.86517E-014 , 2.23530E-001 , 1.76600E+000 
 2.23150E-009 , 0.00000E+000 , 2.59990E-001 , 1.78270E+000 
 2.23260E-009 , 0.00000E+000 , 2.84930E-001 , 1.79370E+000 
 2.23590E-009 , 0.00000E+000 , 3.66410E-001 , 1.82480E+000 
 2.24630E-009 , 0.00000E+000 , 6.28770E-001 , 1.89180E+000 
 2.25710E-009 , 0.00000E+000 , 8.92190E-001 , 1.92900E+000 
 2.26800E-009 , 0.00000E+000 , 1.11690E+000 , 1.94710E+000 
 2.28020E-009 , 0.00000E+000 , 1.30550E+000 , 1.94930E+000 
 2.30110E-009 , 0.00000E+000 , 1.53740E+000 , 1.91900E+000 
 2.31620E-009 , 0.00000E+000 , 1.64220E+000 , 1.88640E+000 
 2.33560E-009 , 0.00000E+000 , 1.71900E+000 , 1.85320E+000 
 2.35400E-009 , 0.00000E+000 , 1.75690E+000 , 1.83200E+000 
 2.37860E-009 , 0.00000E+000 , 1.78160E+000 , 1.81540E+000 
 2.40000E-009 , 0.00000E+000 , 1.79110E+000 , 1.80790E+000 
 2.40370E-009 , 2.25000E-001 , 1.81950E+000 , 1.83480E+000 
 2.40530E-009 , 3.18230E-001 , 1.83100E+000 , 1.84560E+000 
 2.41030E-009 , 6.16550E-001 , 1.86440E+000 , 1.87720E+000 
 2.41990E-009 , 1.19650E+000 , 1.93070E+000 , 1.94130E+000 
 2.42710E-009 , 1.62830E+000 , 1.97950E+000 , 1.98940E+000 
 2.43000E-009 , 1.80000E+000 , 1.98480E+000 , 1.99400E+000 
 2.43110E-009 , 1.80000E+000 , 1.98230E+000 , 1.99140E+000 
 2.43170E-009 , 1.80000E+000 , 1.98100E+000 , 1.98990E+000 
 2.43370E-009 , 1.80000E+000 , 1.97630E+000 , 1.98480E+000 
 2.43950E-009 , 1.80000E+000 , 1.96180E+000 , 1.96890E+000 
 2.44670E-009 , 1.80000E+000 , 1.93600E+000 , 1.94110E+000 
 2.45650E-009 , 1.80000E+000 , 1.84030E+000 , 1.86600E+000 
 2.46750E-009 , 1.80000E+000 , 1.67260E+000 , 1.75260E+000 
 2.48080E-009 , 1.80000E+000 , 1.44140E+000 , 1.58650E+000 
 2.49420E-009 , 1.80000E+000 , 1.22140E+000 , 1.42120E+000 
 2.51030E-009 , 1.80000E+000 , 1.00300E+000 , 1.28980E+000 
 2.52560E-009 , 1.80000E+000 , 8.10550E-001 , 1.27820E+000 
 2.54300E-009 , 1.80000E+000 , 6.04450E-001 , 1.39740E+000 
 2.57620E-009 , 1.80000E+000 , 3.30530E-001 , 1.62650E+000 
 2.58800E-009 , 1.80000E+000 , 2.56240E-001 , 1.67840E+000 
 2.60000E-009 , 1.80000E+000 , 1.88070E-001 , 1.71370E+000 
 2.60300E-009 , 1.62280E+000 , 1.63990E-001 , 1.71250E+000 
 2.60420E-009 , 1.55100E+000 , 1.54290E-001 , 1.71200E+000 
 2.60800E-009 , 1.32100E+000 , 1.24470E-001 , 1.71140E+000 
